,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,10.1716595,0.43209359,0.065209881,0.103157148,10.0,-0.111648999,-12.0,0.0014169470000000002,0.0
1,1,10.1838684,0.426676363,0.051498,0.104254313,10.0,-0.114364535,-12.0,0.003782367,0.0
2,2,10.178164500000001,0.455209136,0.06121739,0.105465665,10.0,-0.113194071,-12.0,0.007320709,0.0
3,114424,10.1683474,0.434223086,0.060347825,0.109062597,10.0,-0.115704492,-12.0,0.008606508,0.0
0,0,10.2009773,0.403816044,0.059225585,0.101129621,10.0,-0.112468466,-12.0,-0.005145018,-1.0
1,1,10.156394,0.384984493,0.060488898,0.109289438,10.0,-0.112475626,-12.0,-0.002690825,-1.0
2,2,10.1962204,0.379987597,0.057052642,0.103809386,10.0,-0.114775553,-12.0,-0.005869561,-1.0
3,3,10.219286,0.37513759700000004,0.05690337700000001,0.100773424,10.0,-0.11441156300000001,-12.0,-0.009752924,-1.0
4,116467,10.176404,0.343257159,0.06355892099999999,0.108621061,10.0,-0.117089838,-12.0,-0.007720595,-1.0
