,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,9.57884979,0.020505726000000002,1.71313393,0.11447002,11.0,0.009723562,0.0,-0.072507523,-8.0
1,1,9.49579906,0.059901726,1.79292893,0.113221519,11.0,0.008427166,0.0,-0.070903823,-8.0
2,2,9.49725437,0.15405665300000002,1.79063332,0.114317313,11.0,0.005580635,0.0,-0.071149394,-8.0
3,99218,9.81018448,0.054868925,1.54545236,0.113136686,11.0,0.009610986,0.0,-0.079403505,-8.0
0,0,9.67047405,0.360621244,1.60371614,0.117769569,11.0,-0.002505478,-1.0,-0.077207446,-8.0
1,108843,9.76352501,0.479880959,1.60131371,0.111946382,11.0,-0.006767989,-1.0,-0.07736039900000001,-8.0
