,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,9.13515568,-0.240405053,-0.054793626,-0.16169762599999998,-17.0,-0.032744788,-4.0,-0.0053655330000000005,-1.0
1,1,9.21152592,-0.20340675100000002,-0.078663342,-0.16511859,-17.0,-0.030977882,-4.0,-0.008139375,-1.0
2,2,9.18575478,-0.232244805,-0.076313347,-0.162941515,-17.0,-0.033155631,-4.0,-0.007546292,-1.0
3,3,9.25718212,-0.22200624600000002,-0.058589995,-0.168271229,-17.0,-0.035106134,-4.0,-0.007002839,-1.0
4,92747,9.26146126,-0.239705354,-0.072947279,-0.167732999,-17.0,-0.036852803,-4.0,-0.008970799,-1.0
