,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,6.61715984,-0.368841767,2.22331023,0.133364111,13.0,0.005199135,0.0,-0.035907596,-4.0
1,1,7.05949736,-0.21656844,2.13726211,0.138227671,13.0,0.0046886409999999995,0.0,-0.037548907,-4.0
2,83331,6.48386002,-0.038184319,2.20603299,0.130381674,13.0,0.000868398,0.0,-0.038884334,-4.0
0,0,6.53047228,0.29191017199999997,2.02477884,0.136823699,13.0,-0.007765178,-1.0,-0.035970222,-4.0
1,1,6.41444016,0.06594119999999999,2.1832242,0.130238056,13.0,-0.001456619,-1.0,-0.038047999,-4.0
2,2,6.81805515,0.27914965199999997,2.11081219,0.13369189199999998,13.0,-0.0035905959999999997,-1.0,-0.039354,-4.0
3,83461,7.00683498,0.3994804320000001,2.03764009,0.136595845,13.0,-0.0063198740000000005,-1.0,-0.039243858,-4.0
