,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,10.3345966,0.052223407,2.71432543,0.048568934,4.0,0.0061351999999999995,0.0,-0.081612356,-9.0
1,1,10.5370274,0.17913207399999995,2.58382988,0.043737266,4.0,0.00252758,0.0,-0.082335614,-9.0
2,2,10.5147619,0.159529209,2.58752346,0.046896905,4.0,0.00349497,0.0,-0.083130628,-9.0
3,3,10.5855532,0.296462089,2.52608871,0.047325783,4.0,3.66e-05,0.0,-0.083467864,-9.0
4,4,10.753840400000001,0.16075258,2.37153554,0.04563683599999999,4.0,0.004323952,0.0,-0.08634592599999999,-9.0
5,5,10.9851131,0.059733234,2.14887762,0.042625181,4.0,0.00780776,0.0,-0.089576192,-9.0
6,6,10.954907400000002,0.190756127,2.09974694,0.048751935,4.0,0.00526026,0.0,-0.089989811,-9.0
7,99266,10.9470177,0.220674664,2.14271593,0.048164159000000005,4.0,0.0041491240000000006,0.0,-0.089484245,-9.0
0,0,10.3002892,0.5284039970000001,2.46934128,0.04555320400000002,4.0,-0.006346391,-1.0,-0.081939749,-9.0
1,1,10.815567,0.44527900200000003,2.28544617,0.04500795900000002,4.0,-0.005068100000000001,-1.0,-0.08580557300000001,-9.0
2,2,10.595047,0.550198197,2.24921083,0.043362528,4.0,-0.009469265,-1.0,-0.08475136800000001,-9.0
3,3,11.0916634,0.343381405,2.01359916,0.041224904,4.0,-0.002408623,-1.0,-0.089766339,-9.0
4,106436,10.9209032,0.496819496,2.10915542,0.046723273,4.0,-0.008122454,-1.0,-0.088445328,-9.0
