,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,8.00192451,-1.45914221,-0.8581223490000001,0.077601478,7.0,0.069865003,6.0,0.009376841,0.0
1,1,7.68680334,-1.60732555,-0.8347667459999999,0.076071084,7.0,0.06806525599999999,6.0,0.007169625,0.0
2,2,7.25336313,-1.70560813,-0.826435268,0.073010407,7.0,0.06637141099999999,6.0,0.006390125,0.0
3,3,7.28614235,-1.50685549,-0.865970254,0.075832412,7.0,0.066794813,6.0,0.008539566,0.0
4,4,8.24242687,-1.78688097,-0.835234404,0.073630765,7.0,0.069668643,6.0,0.005719231,0.0
5,5,6.70909786,-1.5679008999999997,-0.867800653,0.071446352,7.0,0.065372638,6.0,0.008471217,0.0
6,6,7.68824005,-2.11949372,-0.6987254620000001,0.073487543,7.0,0.066123031,6.0,0.0007849560000000001,0.0
7,7,6.38102198,-1.43799293,-0.8636236190000001,0.073983267,7.0,0.06426017,6.0,0.009369484,0.0
8,8,5.93823004,-1.67352378,-0.774486661,0.078017019,7.0,0.060187377,6.0,0.00600698,0.0
9,9,6.34157372,-1.99724627,-0.711235046,0.072977103,7.0,0.061740167,6.0,0.002542113,0.0
10,47547,8.7120676,-2.09512639,-0.687324405,0.07914108,7.0,0.06909926200000001,6.0,0.00034872,0.0
0,0,8.28660202,-2.18762207,-0.684985638,0.079048395,7.0,0.066214889,6.0,-0.000557988,-1.0
1,1,7.66334248,-2.25761056,-0.588175356,0.079407036,7.0,0.062445457999999995,6.0,-0.002047789,-1.0
2,2,6.83057356,-2.26994801,-0.663244307,0.074046075,7.0,0.061668813,6.0,-0.000608304,-1.0
3,3,8.11963844,-2.25599933,-0.596255839,0.078784987,7.0,0.06453549900000001,6.0,-0.002116747,-1.0
4,4,8.69032001,-2.26613712,-0.622930467,0.074673176,7.0,0.069382973,6.0,-0.002191051,-1.0
5,5,7.54807186,-2.45724463,-0.337947458,0.073684916,7.0,0.062350508,6.0,-0.006599961,-1.0
6,6,8.50309944,-2.37271738,-0.284893006,0.076932862,7.0,0.065637283,6.0,-0.007563490999999999,-1.0
7,7,8.9817915,-2.21491885,-0.44811517,0.079092115,7.0,0.069860905,6.0,-0.005636839,-1.0
8,54001,9.02633667,-2.31142783,-0.238224983,0.076864056,7.0,0.069316812,6.0,-0.009084368,-1.0
