,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,u,v,w,x,x bin,y,y bin,z,z bin
0,21,20,20,9.89121056,-0.6214543579999999,-0.077823781,-0.114496171,-12.0,-0.135079265,-14.0,0,-1.0
1,16,15,15,9.87234497,-0.6502698060000001,-0.079677567,-0.114664122,-12.0,-0.131726354,-14.0,0,-1.0
2,15,14,14,9.86414242,-0.662698805,-0.080854654,-0.114736766,-12.0,-0.13027966,-14.0,0,-1.0
3,22,21,21,9.90497971,-0.602761209,-0.068013668,-0.11437839300000001,-12.0,-0.137266546,-14.0,0,-1.0
4,17,16,16,9.88904476,-0.6266821029999999,-0.071084358,-0.114519596,-12.0,-0.134480923,-14.0,0,-1.0
5,25,24,140225,9.91714096,-0.585624218,-0.061604843,-0.11427328,-12.0,-0.139268026,-14.0,0,-1.0
6,10,9,9,9.87862968,-0.644065917,-0.066769019,-0.114615202,-12.0,-0.132465914,-14.0,0,-1.0
7,9,8,8,9.87005234,-0.656989634,-0.06824203599999999,-0.11469163,-12.0,-0.13096109,-14.0,0,-1.0
8,24,23,23,9.91304207,-0.594129682,-0.053876676,-0.11431464599999999,-12.0,-0.138289973,-14.0,0,-1.0
9,5,4,4,9.86763287,-0.6625899670000001,-0.06158378,-0.114717156,-12.0,-0.130319357,-14.0,0,-1.0
10,23,22,22,9.9034214,-0.609115124,-0.053766433,-0.114400953,-12.0,-0.136547804,-14.0,0,-1.0
11,18,17,17,9.89729595,-0.6191547510000001,-0.051889624,-0.11445699599999999,-12.0,-0.135383144,-14.0,0,-1.0
