,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,u,v,w,x,x bin,y,y bin,z,z bin
0,37,12,12,7.85162258,-0.413190126,-0.19321900600000005,-0.121669874,-13.0,-0.014696862,-2.0,0,-1.0
1,36,11,11,8.05494595,-0.334457457,-0.16928355399999995,-0.126989096,-13.0,-0.014446518,-2.0,0,-1.0
2,30,5,5,7.78249359,-0.390969694,-0.225779265,-0.121202573,-13.0,-0.012896729,-2.0,0,-1.0
3,41,16,16,7.94126225,-0.424746931,-0.13694711,-0.123866424,-13.0,-0.016509436000000002,-2.0,0,-1.0
4,40,15,15,8.13176727,-0.34822726200000004,-0.133452922,-0.129224584,-13.0,-0.016251596,-2.0,0,-1.0
5,42,17,81705,7.98871756,-0.469884276,-0.118365049,-0.124644771,-13.0,-0.019141555,-2.0,0,-1.0
6,28,3,3,8.07227898,-0.252762705,-0.118783161,-0.129516095,-13.0,-0.011453374,-2.0,0,-1.0
7,38,13,13,7.78526115,-0.467820823,-0.104729384,-0.120493643,-13.0,-0.015961567,-2.0,0,-1.0
8,39,14,14,8.01224613,-0.426482618,-0.084487669,-0.12649460099999998,-13.0,-0.017751074,-2.0,0,-1.0
9,35,10,10,7.96136427,-0.429939151,-0.06417837700000001,-0.125751957,-13.0,-0.017147489,-2.0,0,-1.0
