,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,u,v,w,x,x bin,y,y bin,z,z bin
0,15,6,6,9.42935658,-3.97258043,-0.349110276,-0.044341132000000005,-5.0,-0.07104432599999999,-8.0,0,-1.0
1,14,5,5,9.43028259,-3.98687482,-0.342557073,-0.042950761,-5.0,-0.07014543599999999,-8.0,0,-1.0
2,18,9,9,9.63140106,-3.79298425,-0.253205061,-0.049253635,-5.0,-0.076728463,-8.0,0,-1.0
3,19,10,95248,9.72371769,-3.6495719,-0.258888632,-0.048962612,-5.0,-0.078661114,-8.0,0,-1.0
4,16,7,7,9.78705597,-3.82271719,-0.1886352,-0.042698965,-5.0,-0.072974265,-8.0,0,-1.0
