,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,u,v,w,x,x bin,y,y bin,z,z bin
0,35,14,14,7.44150019,1.81358981,-0.304874152,-0.100486644,-11.0,0.046148848,4.0,0,-1.0
1,31,10,10,7.411740299999999,1.58392954,-0.332940847,-0.10465700900000001,-11.0,0.040428843,4.0,0,-1.0
2,30,9,9,7.31100082,1.83712542,-0.316156626,-0.100171953,-11.0,0.044493403,4.0,0,-1.0
3,34,13,13,7.95404625,1.36789429,-0.289987594,-0.108227536,-11.0,0.044536844000000006,4.0,0,-1.0
4,36,15,56128,7.84345722,1.62572908,-0.254688531,-0.103642575,-11.0,0.048533768,4.0,0,-1.0
5,33,12,12,8.037635799999999,1.53372526,-0.230686069,-0.10518985199999999,-11.0,0.049657498,4.0,0,-1.0
6,32,11,11,7.89624977,1.59915411,-0.18921116,-0.104238831,-11.0,0.048651919,4.0,0,-1.0
7,29,8,8,7.98730707,1.33570921,-0.20368845800000002,-0.109428145,-11.0,0.044445377,4.0,0,-1.0
8,27,6,6,7.35079479,1.71746516,-0.217515171,-0.102307975,-11.0,0.042312990999999994,4.0,0,-1.0
9,26,5,5,7.90787601,1.29136503,-0.16598314,-0.109884888,-11.0,0.042367563,4.0,0,-1.0
