,u,v,w,x,x bin,y,y bin,z,z bin
0,8.80168915,-1.64588213,0.998513699,-0.092523634,-10.0,-0.062056638,-7.0,0.035325885,3.0
1,8.88182259,-1.67469692,1.05776107,-0.090222694,-10.0,-0.062935539,-7.0,0.036859538,3.0
2,8.92793846,-1.5597403,0.968610406,-0.093371272,-10.0,-0.064443387,-7.0,0.037243709,3.0
3,8.83398438,-1.56380224,0.816805184,-0.09774111199999999,-10.0,-0.064169616,-7.0,0.033052575,3.0
4,9.0305872,-1.51250172,0.913026571,-0.093515933,-10.0,-0.06697385,-7.0,0.038152557,3.0
5,9.06016159,-1.34145987,0.8288089040000001,-0.09990067,-10.0,-0.066765338,-7.0,0.039822288,3.0
6,8.70749474,-1.82460427,0.910286367,-0.090466738,-10.0,-0.062443808,-7.0,0.030653734,3.0
7,8.89217854,-1.62022269,0.751714826,-0.09574400599999999,-10.0,-0.066985324,-7.0,0.031190282000000007,3.0
8,8.98095322,-1.53384316,0.769901335,-0.096943051,-10.0,-0.06795767,-7.0,0.033287235,3.0
73693,9.12476826,-1.41276479,0.810384393,-0.096728958,-10.0,-0.069362685,-7.0,0.038426545,3.0
