,u,v,w,x,x bin,y,y bin,z,z bin
0,8.81238747,-0.374596179,-2.20672226,-0.09029366800000001,-10.0,-0.01183749,-2.0,-0.071233451,-8.0
1,8.84658146,-0.349019349,-2.163095,-0.090643279,-10.0,-0.01127485,-2.0,-0.072130613,-8.0
2,9.04564095,-0.266861528,-1.81673086,-0.09506033400000001,-10.0,-0.010897233999999999,-2.0,-0.078016929,-8.0
3,8.82054329,-0.374454558,-1.85802305,-0.097014114,-10.0,-0.014315412,-2.0,-0.070554063,-8.0
4,8.82667732,-0.436659306,-2.1522994,-0.091097556,-10.0,-0.014587353999999999,-2.0,-0.071899392,-8.0
5,8.78732872,-0.528638661,-2.18896914,-0.09076833,-10.0,-0.017838795,-2.0,-0.070873782,-8.0
6,8.98957157,-0.270806313,-1.67874908,-0.09864305,-10.0,-0.011867325,-2.0,-0.075782791,-8.0
7,9.04820442,-0.311909497,-1.96976113,-0.090512008,-10.0,-0.012130516,-2.0,-0.07742985299999999,-8.0
8,9.07486439,-0.330387414,-1.75564373,-0.095740244,-10.0,-0.013798035,-2.0,-0.079154305,-8.0
9,8.86272812,-0.451222271,-1.92738461,-0.095625132,-10.0,-0.017271576,-2.0,-0.07202377900000001,-8.0
10,8.97652435,-0.333640605,-1.71648932,-0.097945385,-10.0,-0.013971136,-2.0,-0.075681478,-8.0
11,9.03383827,-0.3910325770000001,-1.79233432,-0.095622741,-10.0,-0.015636871,-2.0,-0.078278437,-8.0
12,8.94394112,-0.376331866,-1.73648345,-0.09812974199999999,-10.0,-0.015610222,-2.0,-0.074476279,-8.0
13,8.90237141,-0.422873557,-1.78482246,-0.098807327,-10.0,-0.017905200000000003,-2.0,-0.072129197,-8.0
14,9.06248665,-0.442935377,-1.82022643,-0.094005965,-10.0,-0.018261189,-2.0,-0.078178972,-8.0
15,8.99106312,-0.408302009,-1.69845867,-0.099955961,-10.0,-0.01848029,-2.0,-0.074559629,-8.0
115445,8.99038696,-0.484607697,-1.94477141,-0.09238977699999999,-10.0,-0.018856306,-2.0,-0.076094829,-8.0
