,u,v,w,x,x bin,y,y bin,z,z bin
0,10.129642500000001,-0.379235923,0.298133522,-0.094556153,-10.0,-0.129360944,-13.0,0.096396193,9.0
1,10.1269484,-0.391390622,0.298646867,-0.094605342,-10.0,-0.12801522,-13.0,0.093693577,9.0
2,10.123085000000001,-0.40537893799999997,0.301506788,-0.09468919,-10.0,-0.126925677,-13.0,0.09119504699999999,9.0
3,10.1223965,-0.410665631,0.301244646,-0.094696641,-10.0,-0.127284437,-13.0,0.090113066,9.0
138180,10.1281605,-0.395760536,0.293112755,-0.094605535,-10.0,-0.12886484,-13.0,0.092055872,9.0
