,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
5,45499,9.30710793,0.24495464600000005,-0.001226704,-0.172363326,-18.0,0.039389521,3.0,0.003625791,0.0
4,4,9.34395409,0.23165318399999998,0.015007376000000001,-0.176309407,-18.0,0.039527491,3.0,0.005933722,0.0
1,1,9.33448219,0.230400115,0.017406352,-0.175295353,-18.0,0.038607005,3.0,0.006442655,0.0
2,2,9.32789612,0.215963185,0.020696944,-0.175632387,-18.0,0.036178302,3.0,0.00692881,0.0
0,0,9.30218506,0.245032728,0.02449988,-0.170314506,-18.0,0.037907969,3.0,0.008200157,0.0
3,3,9.30264091,0.227614075,0.031054646,-0.171433151,-18.0,0.035442926,3.0,0.009150816,0.0
