,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
26,13,79630,6.20745039,-0.8481426240000001,-0.406144381,-0.10037343900000001,-11.0,-0.017998725,-2.0,-0.007332465,-1.0
13,0,0,6.20254755,-0.372385412,-0.411992997,-0.102317944,-11.0,-0.010885205,-2.0,-0.007225099,-1.0
21,8,8,6.39795923,-0.459646016,-0.331404954,-0.103855379,-11.0,-0.01342035,-2.0,-0.006040362,-1.0
25,12,12,6.87692404,-0.439183295,-0.218776703,-0.108939111,-11.0,-0.014741611000000003,-2.0,-0.005160009,-1.0
14,1,1,6.20918798,-0.41098046299999996,-0.271590889,-0.10235901900000001,-11.0,-0.011380048,-2.0,-0.00502173,-1.0
