,u,v,w,x,x bin,y,y bin,z,z bin
0,10.2388067,0.347778618,-0.170268714,0.109804064,10.0,-0.122752488,-13.0,0.08041037599999999,8.0
1,10.2584543,0.34800732100000004,-0.174556926,0.10398253800000001,10.0,-0.121770926,-13.0,0.082194515,8.0
2,10.2432241,0.33304587,-0.15284422,0.109851807,10.0,-0.12540774,-13.0,0.081036411,8.0
3,10.2599506,0.332015216,-0.155674696,0.10494988400000001,10.0,-0.12470506099999999,-13.0,0.08267144900000001,8.0
4,10.2550364,0.327542901,-0.162163824,0.105724752,10.0,-0.123854339,-13.0,0.08410157300000001,8.0
5,10.2512608,0.331112325,-0.175834477,0.105679929,10.0,-0.121842235,-13.0,0.08508975099999999,8.0
6,10.2585278,0.31794467600000004,-0.166773617,0.104257494,10.0,-0.123183005,-13.0,0.086760066,8.0
136891,10.2436476,0.30974412,-0.180303723,0.107176013,10.0,-0.121479541,-13.0,0.089240208,8.0
