,u,v,w,x,x bin,y,y bin,z,z bin
0,10.2636871,-0.108342953,0.434423983,0.108706161,10.0,0.048384074000000006,4.0,-0.141519174,-15.0
1,10.2675753,-0.102691814,0.41108936100000004,0.108775839,10.0,0.049259782,4.0,-0.14401750300000002,-15.0
2,10.26688,-0.09958858,0.416238248,0.108766817,10.0,0.048135350999999986,4.0,-0.143729687,-15.0
3,10.264327999999999,-0.102121547,0.432725012,0.108697474,10.0,0.047228787,4.0,-0.142049685,-15.0
4,10.2650566,-0.096825451,0.423248619,0.108727284,10.0,0.046651470999999986,4.0,-0.14342916,-15.0
5,10.2700062,-0.09555641599999999,0.39759481,0.108812764,10.0,0.048937377000000004,4.0,-0.14569763800000002,-15.0
6,10.2680044,-0.092123836,0.40576908,0.108795047,10.0,0.047231618,4.0,-0.14531180300000002,-15.0
7,10.2654324,-0.08675566300000001,0.409816742,0.108752474,10.0,0.045064945,4.0,-0.145705447,-15.0
8,10.27213,-0.08660864800000001,0.3827322420000001,0.108840041,10.0,0.048186127,4.0,-0.147797361,-15.0
132938,10.270344699999999,-0.084948905,0.388278484,0.108826213,10.0,0.047032677,4.0,-0.147515655,-15.0
