,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
0,7,68896,8.2144537,1.56003189,-0.9236458540000001,0,-10.0,0.049152222,4.0,-0.029210497000000002,-3.0
1,4,4,8.10684967,1.56528091,-0.922306657,0,-10.0,0.047319584000000005,4.0,-0.027468195,-3.0
2,3,3,7.99259472,1.59173644,-0.873784065,0,-10.0,0.046300667999999996,4.0,-0.025750672000000002,-3.0
3,1,1,7.54582977,1.67044473,-1.01234543,0,-10.0,0.040062703,4.0,-0.025474399,-3.0
4,6,6,7.70421505,1.68070889,-1.09351552,0,-10.0,0.042147026,4.0,-0.029398609,-3.0
5,2,2,7.68475342,1.82333755,-0.848149121,0,-10.0,0.046128165,4.0,-0.024224358,-3.0
6,5,5,7.72612667,1.78169024,-1.0369103000000002,0,-10.0,0.044804134,4.0,-0.027660003,-3.0
7,0,0,7.58267927,1.89049482,-0.7505818609999999,0,-10.0,0.04670107,4.0,-0.021563726,-3.0
