,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
0,6,6,9.99907875,0.6865718359999999,0.333487928,0,-10.0,0.121056996,12.0,0.058898129,5.0
1,3,3,10.0188828,0.6776548029999999,0.32359466,0,-10.0,0.12339430300000001,12.0,0.05865383900000001,5.0
2,14,14,10.0027666,0.748587012,0.38396883,0,-10.0,0.120283246,12.0,0.057599321,5.0
3,18,18,10.0035458,0.752410173,0.365041137,0,-10.0,0.121083543,12.0,0.055440553,5.0
4,10,10,10.0148678,0.731539905,0.362046629,0,-10.0,0.122262619,12.0,0.057040304000000014,5.0
5,24,24,10.0095062,0.767504692,0.339180708,0,-10.0,0.120454475,12.0,0.05241508,5.0
6,25,7242,10.0147171,0.7738459109999999,0.320483863,0,-10.0,0.120368376,12.0,0.05053559,5.0
7,21,21,10.014531100000001,0.7509150509999999,0.336838365,0,-10.0,0.121879175,12.0,0.053367782,5.0
8,15,15,10.016744599999999,0.734840155,0.341632754,0,-10.0,0.123091318,12.0,0.054835699999999994,5.0
9,22,22,10.0189896,0.757867038,0.320377469,0,-10.0,0.121697955,12.0,0.051623456,5.0
10,7,7,10.0285292,0.7120873329999999,0.338861287,0,-10.0,0.124410816,12.0,0.056587599,5.0
11,19,19,10.021464300000002,0.738960862,0.32635068899999997,0,-10.0,0.123115554,12.0,0.053375673,5.0
12,23,23,10.026022,0.7533850670000001,0.297532499,0,-10.0,0.122903809,12.0,0.050119404000000006,5.0
13,11,11,10.0237646,0.721832693,0.33161157399999996,0,-10.0,0.12440346199999999,12.0,0.054951507999999996,5.0
14,2,2,10.0473452,0.6825302240000001,0.330893338,0,-10.0,0.126054108,12.0,0.05865629,5.0
15,20,20,10.0311394,0.7409628629999999,0.295964271,0,-10.0,0.123784363,12.0,0.050872773,5.0
16,5,5,10.040105800000001,0.694824696,0.325127393,0,-10.0,0.12590421699999998,12.0,0.05687812,5.0
17,16,16,10.034704199999998,0.724961162,0.300461829,0,-10.0,0.124887861,12.0,0.052335627,5.0
18,9,9,10.0370102,0.70689106,0.306331098,0,-10.0,0.126238987,12.0,0.05402272599999999,5.0
19,13,13,10.0388031,0.711556077,0.298468202,0,-10.0,0.126041472,12.0,0.053097662000000004,5.0
20,1,1,10.0575151,0.668356657,0.313251674,0,-10.0,0.127680391,12.0,0.058249447999999995,5.0
21,17,17,10.042175300000002,0.7179681059999999,0.277265996,0,-10.0,0.126365483,12.0,0.050970338,5.0
22,4,4,10.0510902,0.679718316,0.302441895,0,-10.0,0.127854839,12.0,0.056052972,5.0
23,8,8,10.0450068,0.689842045,0.30168795600000003,0,-10.0,0.127510667,12.0,0.054991297,5.0
24,0,0,10.0620165,0.662594318,0.296246529,0,-10.0,0.128891855,12.0,0.057092506,5.0
25,12,12,10.0500355,0.7005832790000001,0.26802814,0,-10.0,0.128021911,12.0,0.051446337,5.0
