,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
0,10,71532,8.02405453,-1.63161862,0.6292917729999999,0,-10.0,-0.047705382000000005,-5.0,0.020763302,2.0
1,6,6,8.06316185,-1.58242965,0.7636536359999999,0,-10.0,-0.046401314000000006,-5.0,0.024814241,2.0
2,9,9,8.08680916,-1.62303793,0.708973587,0,-10.0,-0.048108008,-5.0,0.023403022,2.0
3,7,7,8.1756382,-1.6265173000000002,0.776811004,0,-10.0,-0.049445108,-5.0,0.025831109,2.0
4,4,4,7.93185186,-1.60678327,0.799304307,0,-10.0,-0.044139661,-5.0,0.02428445,2.0
5,5,5,7.78715229,-1.69018424,0.785010219,0,-10.0,-0.04385988,-5.0,0.022239002,2.0
6,8,8,7.8468895000000005,-1.76815748,0.734036624,0,-10.0,-0.046219271,-5.0,0.020696987,2.0
7,1,1,7.76906776,-1.67047024,1.02623177,0,-10.0,-0.041972831,-5.0,0.02820464,2.0
8,0,0,7.67544603,-1.69601929,1.12891269,0,-10.0,-0.040693395,-5.0,0.029871107999999997,2.0
9,2,2,7.61455441,-1.76215506,1.03001845,0,-10.0,-0.041505512,-5.0,0.02656308,2.0
10,3,3,8.10159111,-1.72922099,1.02599156,0,-10.0,-0.04726636,-5.0,0.029732483,2.0
